query,retrieved_response,hybrid_score,confidence,human_label,human_notes
@AmazonHelp That's why I am saying I have worst experience with #amazon,@134813 I'm sorry about the unpleasant experience. Could you please let us know what went wrong so we can help you? ^GD,0.7669931008725678,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp Amazon did'nt deliver product (4-2197264-7157136) in 50 days. After waiting 4 so long I didn't get product delivered but refund,@440824 I've flagged your experience as feedback to the relevant team to ensure such instances aren't repeated in the future. 2/2 ^EM,0.7297214260469437,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp Yes,@316508 Give us a call whenever you have time. We can be reached 24/7 here: https://t.co/hApLpMlfHN ^EP,0.981515395641327,High,1,AI-assisted label: retrieved response judged relevant/correct.
"dear @115850 
Why there is so much price difference within a day?😮 https://t.co/kHacb6keak",@352911 I see that these are 2 different products. Kindly be specific. We'll be happy to address your concern. ^SG,0.7037763570153717,High,1,AI-assisted label: retrieved response judged relevant/correct.
@120533 best client service ever 😍,@393149 We're glad to hear this! Reach out anytime if you have any other questions or concerns. ^TH,0.7145255724118513,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp Which mail now?,"@144768 An email has been sent to your registered e-mail ID by our Social Media team. Kindly reply to that, for further assistance. ^PJ",0.8440234991025788,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp I replied but nobody contacted me thereafter,@329208 That's rather strange. Haven't you received any correspondence to the details you filled using the link? ^JC,0.763234575370041,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp Muchas gracias por vuestra rápida respuesta!,@466122 ¡Con todo gusto! Cualquier otra consulta estamos a tu servicio. ¡Saludos!  ^PC,0.8619471366310214,High,1,AI-assisted label: retrieved response judged relevant/correct.
"こんな段ボールで送ってくる
アマゾンて何なんだ❗
宅配も呆れていた

#アマゾン https://t.co/Bg2qjWgp7S",@264345 Amazonからそのような内容のメールやメッセージはお送りしておりません。当サイトからのEメールかどうかの識別方法については、リンクのヘルプページをご参照ください。https://t.co/xWXio7jdEp TN,0.9454268097877503,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp ありがとうございます！Zeroが見れるようになってから待ってたので嬉しいです☺️,"@342707 とんでもございません、お力になれて嬉しいです。
これからもご不明な点、お気づきの点などございましたらご遠慮なくお知らせください☺　MH",0.8361166596412659,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp Monday,@232632 Who's the carrier listed under tracking information for your order here: https://t.co/aaDyEz1VgE? ^WT,0.8061529558283091,High,1,AI-assisted label: retrieved response judged relevant/correct.
@115821 @AmazonHelp lost my package 😡😡😡😒😒😒😤😤😤,@337947 So sorry about this! Could you tell us the carrier for delivery show in your order tracking?: https://t.co/Y5jpI9gRhE ^VB,0.8510152607164361,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp I didn't get any response from your team,@162537 We've emailed you  regarding the issue. Kindly check it here:https://t.co/NTkrxpsbHJ. ^AP,0.8010554836015533,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp Already sent,@123350 Thank you for the confirmation. We'll get back to you at the earliest. ^SU,0.9321219205856324,High,1,AI-assisted label: retrieved response judged relevant/correct.
"#アマゾンジャパン相談係 と名乗るメッセージが届きました。
すぐに電話番号を調べたらやはり詐欺番号でした。
皆さんもお気をつけを！！
#Amazon #詐欺
#アマゾンジャパン https://t.co/tgCR2xjwze",@685636 アマゾンです。ご認識の通りこちらは当サイトからお送りしたものではございません。個人情報を取得しようとする詐欺が発生しているようですので、どうぞご注意くださいませ。ET,0.7680282684633988,High,1,AI-assisted label: retrieved response judged relevant/correct.
Just received the worst customer service ever from @115821. Shocked and stunned. #badcustomerservice,"@733924 I'm sorry we've let you down, Eli. Without giving account specifics, can you tell us more? We'd like to help. ^HS",0.8019108967791966,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp This one https://t.co/IRiUntXoJ4,@210003 Thanks for flagging this. We'll have it reviewed internally. ^NR,0.8889487862586976,High,1,AI-assisted label: retrieved response judged relevant/correct.
"Bonjour @120533 j'ai un problème pour passer commande, pourriez-vous m'aider svp ?","@233037 Bonsoir,
Je serai ravie de vous aider. Que puis-je faire pour vous ? 😇
^MD",0.700751783785376,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp Okay,@426424 All the best ! ^KS,0.934782612323761,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp Great that’s fantastic. Thank you so much!,"@754683 You're very welcome, Joséphine! Please keep us posted! ^SD",0.7296165802719865,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp Done Already! No results,"@185185 If you've shared your details, we will look into it and get back to you with an update shortly. ^SQ",0.7453261891104158,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp Qué broma es esta? Le dejan mi pedido a una vecina y sin avisarme? https://t.co/YLA6Mv1MDC,"@236016 Hola, Erik. Lamentamos mucho este inconveniente. ¿Pudiste hallar el pedido? ^ES",0.7904103081352518,High,1,AI-assisted label: retrieved response judged relevant/correct.
"@AmazonHelp Ya lo solucioné, ¡muchas gracias!",@421449 Nos alegra saberlo. Esperamos que disfrutes mucho de tu pedido 😊 ^LG,0.8054579431616758,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp Is there a way to cancel my Amazon prime trial if my account has been locked?,@364772 Hey. You can cancel Amazon Prime via your account. Which Amazon website do you use - Amazon .com /.co.uk etc? ^TP,0.707780332321596,High,1,AI-assisted label: retrieved response judged relevant/correct.
@AmazonHelp Yesterday,@222570 Please give us another chance to investigate this order and reach out to us by phone or chat using the link provided: https://t.co/JzP7hlA23B   ^FJ,0.930178987979889,High,1,AI-assisted label: retrieved response judged relevant/correct.
