query,actual_response,retrieved_response,score,confidence
@115821 truly just pissed me off.,"@249062 Hi! Maybe we can help. Can you explain in detail, without giving sensitive information, what happened? Let us know! ^DA",@488739 I'm sorry for the delay with your parcel! Please keep us posted and let us know if you don't receive it by November 7. ^MO,0.5504879835004534,Medium
"Awful service from @115830 Order not fulfilled, no explaination as to why. Seriously wondering if Prime is worth the money.",@454546 We aim to meet the delivery date provided in your order confirmation e-mail: https://t.co/YnHxGSmFO2 Has the date passed? ^KJ,@468404 Are you waiting on a pre order? Is there tracking available?: https://t.co/Y5jpI9gRhE We'd like to help ^PK,0.5933694178956758,Medium
@AmazonHelp Horrible experience... Amazon is si dumb and naive... They have been repeating the same thing... Is there anything that you guys care for,@406982 Could you confirm receiving an email from our team? (2/2) ^KA,"@748032 My apologies for the experience you've had, Shashank. We never wanted you to face sch a situation. Please reply to the email sent and we will be happy to have this checked further. ^KS",0.5669962580164875,Medium
"@115850 Is there any way by which I can order Redmi 4A 32 GB @138673 ? Have been trying your lightning deal for one month and sadly I am not able to make it to even the waitlist. Leave alone the prime membership, I think TIME doesn't seem valuable to you!","@280277 Due to overwhelming response &amp; limited stock, orders are fulfilled on a first-come-first-serve basis. Since this phone is being sold in a flash sale model, we cannot guarantee the availability of this product. ^PS",@134349 The sale starts at 12.00 and ends till the stock lasts. ^MD,0.5064266878819137,Low
"Huhu @AmazonHelp! Früher gab es mal eine 30-Tage-Test-Garantie ... sollte man in dieser Zeit unzufrieden mit dem Tablet sein, konnte man es kostenfrei zurückschicken und Geld wurde erstattet. Ist das noch gültig?",@287913 Du kannst jeden Artikel innerhalb von 30 Tagen zurückschicken. Alle Informationen zur Rückgabe findest du hier: https://t.co/RSotcasuGJ Liebe Grüße ^TA,"@524176 Wenn du dich beeilst, bekommst es vielleicht morgen noch von uns ;) ^AS",0.4989121700063118,Low
"@AmazonHelp I am very well aware that i can return the item, I am so embarrased as this was supposed to be a bday present and dis has costed me more.",@219966 I really understand your concern. Certainly did not expect this to happen. I've noted your feedback and will be sure to pass on your feedback to the concerned department. ^JS,"@484677 I understand your concern, you may use the following link if you wish to return the item: https://t.co/dgreAZyu1F. ^SK",0.5337960004468336,Low
@AmazonHelp There is no option to contact to customer service on your website,"@445667 I get your concern, Sam. Please use the link shared above to reach us. We'll help you to resolve your concern. ^SV","@192262 We can definitely assist, Khairul! Could you please let us know which domain (.com, .ca, .in) you are using? This'll let us know which contact information to provide you. Please let us know! ^JD",0.6240301398047952,Medium
Livraison re-planifiée à la demande du client c'est faux hein. Le transporteur a décidé ça tout seul et moi j'attends! @120533 @AmazonHelp,"@524867 Bonjour, vous m'en voyez navrée. De quel transporteur s'agit-il s'il vous plaît?","@265998 Bonjour, s'agit-il d'une commande en cours de livraison ? ^SN",0.5703136643273997,Medium
"@115821 You got the best delivery in the world ? Cool story bro, I'm still waiting my Ethernet Wires, it's been 2 weeks and they were already delayed twice.
What I am suppose to do ? Subscribe to Amazon Prime to have decent service ?","@761043 Hello,
Is the item shipped by Amazon or by a seller.
^MD","@804517 I'm so sorry your package was not delivered today! Please reach out to us here https://t.co/JzP7hlA23B so we can look into this for you.
^AV",0.5456837413242667,Low
"@115850 Order 408-6046562-5134714 
Order 408-9691629-2196333
amazon not refund provide me . and not talking me i am pay 2 time payment",@488767 personal information. Our page is visible to the public. (2/2) ^SF,@192215 Sorry about the delay. Kindly respond to the email you've received from our team. We'll get in touch with you. ^NS,0.6560238891928457,Medium
